Chr	Start	End	Type
Chr01	1	3370111	W
Chr01	3370112	3370211	N
Chr01	3370212	3755106	W
Chr01	3755107	3755206	N
Chr01	3755207	4363261	W
Chr01	4363262	4363361	N
Chr01	4363362	30655049	W
Chr01	30655050	30655149	N
Chr01	30655150	33030188	W
Chr01	33030189	33030288	N
Chr01	33030289	34140456	W
Chr01	34140457	34140556	N
Chr01	34140557	34727486	W
Chr01	34727487	34727586	N
Chr01	34727587	34876771	W
Chr01	34876772	34876871	N
Chr01	34876872	34939200	W
Chr01	34939201	34939300	N
Chr01	34939301	37670513	W
Chr01	37670514	37670613	N
Chr01	37670614	39186252	W
Chr01	39186253	39186352	N
Chr01	39186353	40230685	W
Chr01	40230686	40230785	N
Chr01	40230786	40267815	W
Chr01	40267816	40267915	N
Chr01	40267916	40350423	W
Chr01	40350424	40350523	N
Chr01	40350524	40426016	W
Chr01	40426017	40426116	N
Chr01	40426117	40470547	W
Chr01	40470548	40470572	N
Chr01	40470573	40532329	W
Chr01	40532330	40532429	N
Chr01	40532430	40582583	W
Chr01	40582584	40582657	N
Chr01	40582658	40696545	W
Chr01	40696546	40696645	N
Chr01	40696646	42821828	W
Chr01	42821829	42821928	N
Chr01	42821929	43973424	W
Chr01	43973425	43973524	N
Chr01	43973525	55346023	W
Chr01	55346024	55346063	N
Chr01	55346064	55432781	W
Chr01	55432782	55432854	N
Chr01	55432855	55534156	W
Chr01	55534157	55534256	N
Chr01	55534257	55591020	W
Chr01	55591021	55591069	N
Chr01	55591070	55691145	W
Chr01	55691146	55691170	N
Chr01	55691171	70683758	W
Chr01	70683759	70683858	N
Chr01	70683859	76585105	W
Chr01	76585106	76585205	N
Chr01	76585206	84214059	W
Chr01	84214060	84214159	N
Chr01	84214160	86260044	W
Chr01	86260045	86260144	N
Chr01	86260145	88030036	W
Chr01	88030037	88030136	N
Chr01	88030137	90863682	W
Chr02	1	400696	W
Chr02	400697	400796	N
Chr02	400797	1081256	W
Chr02	1081257	1081356	N
Chr02	1081357	1728112	W
Chr02	1728113	1728212	N
Chr02	1728213	2560013	W
Chr02	2560014	2560113	N
Chr02	2560114	3197877	W
Chr02	3197878	3197977	N
Chr02	3197978	11857166	W
Chr02	11857167	11857266	N
Chr02	11857267	18190957	W
Chr02	18190958	18191057	N
Chr02	18191058	18214837	W
Chr02	18214838	18214937	N
Chr02	18214938	18241064	W
Chr02	18241065	18241164	N
Chr02	18241165	18338427	W
Chr02	18338428	18338527	N
Chr02	18338528	21377807	W
Chr02	21377808	21377907	N
Chr02	21377908	21729738	W
Chr02	21729739	21729838	N
Chr02	21729839	23031006	W
Chr02	23031007	23031106	N
Chr02	23031107	23500634	W
Chr02	23500635	23500734	N
Chr02	23500735	25235028	W
Chr02	25235029	25235128	N
Chr02	25235129	27692009	W
Chr02	27692010	27692109	N
Chr02	27692110	30319236	W
Chr02	30319237	30319336	N
Chr02	30319337	30883191	W
Chr02	30883192	30883291	N
Chr02	30883292	32997308	W
Chr02	32997309	32997408	N
Chr02	32997409	33677079	W
Chr02	33677080	33677179	N
Chr02	33677180	47735686	W
Chr02	47735687	47735786	N
Chr02	47735787	48553941	W
Chr02	48553942	48554041	N
Chr02	48554042	52533186	W
Chr02	52533187	52533286	N
Chr02	52533287	53436984	W
Chr02	53436985	53437084	N
Chr02	53437085	53473368	W
Chr03	1	263689	W
Chr03	263690	263789	N
Chr03	263790	1072399	W
Chr03	1072400	1072499	N
Chr03	1072500	2524587	W
Chr03	2524588	2524687	N
Chr03	2524688	3851446	W
Chr03	3851447	3851546	N
Chr03	3851547	4712088	W
Chr03	4712089	4712188	N
Chr03	4712189	6351728	W
Chr03	6351729	6351828	N
Chr03	6351829	10972949	W
Chr03	10972950	10973049	N
Chr03	10973050	12584501	W
Chr03	12584502	12584601	N
Chr03	12584602	12617835	W
Chr03	12617836	12617935	N
Chr03	12617936	12661875	W
Chr03	12661876	12661975	N
Chr03	12661976	12694132	W
Chr03	12694133	12694232	N
Chr03	12694233	12764043	W
Chr03	12764044	12764143	N
Chr03	12764144	26335682	W
Chr03	26335683	26335782	N
Chr03	26335783	27643253	W
Chr03	27643254	27643353	N
Chr03	27643354	33495542	W
Chr03	33495543	33495642	N
Chr03	33495643	37617164	W
Chr03	37617165	37617264	N
Chr03	37617265	38792199	W
Chr03	38792200	38792299	N
Chr03	38792300	42994929	W
Chr03	42994930	42995029	N
Chr03	42995030	44519281	W
Chr03	44519282	44519381	N
Chr03	44519382	48725496	W
Chr03	48725497	48725596	N
Chr03	48725597	54778925	W
Chr03	54778926	54779025	N
Chr03	54779026	56156118	W
Chr03	56156119	56156218	N
Chr03	56156219	56953798	W
Chr03	56953799	56953898	N
Chr03	56953899	60143366	W
Chr03	60143367	60143466	N
Chr03	60143467	65273992	W
Chr03	65273993	65274092	N
Chr03	65274093	65298490	W
Chr04	1	177677	W
Chr04	177678	177777	N
Chr04	177778	3754084	W
Chr04	3754085	3754184	N
Chr04	3754185	4517276	W
Chr04	4517277	4517376	N
Chr04	4517377	8819239	W
Chr04	8819240	8819339	N
Chr04	8819340	13471992	W
Chr04	13471993	13472092	N
Chr04	13472093	13697978	W
Chr04	13697979	13698078	N
Chr04	13698079	13945758	W
Chr04	13945759	13945858	N
Chr04	13945859	20472160	W
Chr04	20472161	20472260	N
Chr04	20472261	21228220	W
Chr04	21228221	21228320	N
Chr04	21228321	23967649	W
Chr04	23967650	23967749	N
Chr04	23967750	28604938	W
Chr04	28604939	28605038	N
Chr04	28605039	31211641	W
Chr04	31211642	31211741	N
Chr04	31211742	50771279	W
Chr04	50771280	50771379	N
Chr04	50771380	54278657	W
Chr04	54278658	54278757	N
Chr04	54278758	55490618	W
Chr04	55490619	55490718	N
Chr04	55490719	55509473	W
Chr04	55509474	55509573	N
Chr04	55509574	58916218	W
Chr04	58916219	58916318	N
Chr04	58916319	64446452	W
Chr04	64446453	64446552	N
Chr04	64446553	64459972	W
Chr05	1	36334	W
Chr05	36335	36434	N
Chr05	36435	22052632	W
Chr05	22052633	22052732	N
Chr05	22052733	26840293	W
Chr05	26840294	26840393	N
Chr05	26840394	28133676	W
Chr05	28133677	28133776	N
Chr05	28133777	42241686	W
Chr05	42241687	42241786	N
Chr05	42241787	43893178	W
Chr05	43893179	43893278	N
Chr05	43893279	46540017	W
Chr05	46540018	46540117	N
Chr05	46540118	46579360	W
Chr05	46579361	46579460	N
Chr05	46579461	48598957	W
Chr05	48598958	48599027	N
Chr05	48599028	54671420	W
Chr05	54671421	54671445	N
Chr05	54671446	65269487	W
Chr06	1	3731091	W
Chr06	3731092	3731191	N
Chr06	3731192	6101671	W
Chr06	6101672	6101771	N
Chr06	6101772	6616185	W
Chr06	6616186	6616285	N
Chr06	6616286	8633973	W
Chr06	8633974	8634073	N
Chr06	8634074	9839484	W
Chr06	9839485	9839584	N
Chr06	9839585	10114968	W
Chr06	10114969	10115068	N
Chr06	10115069	10435738	W
Chr06	10435739	10435838	N
Chr06	10435839	12233370	W
Chr06	12233371	12233470	N
Chr06	12233471	16098164	W
Chr06	16098165	16098264	N
Chr06	16098265	16529437	W
Chr06	16529438	16529537	N
Chr06	16529538	18132219	W
Chr06	18132220	18132319	N
Chr06	18132320	18184728	W
Chr06	18184729	18184828	N
Chr06	18184829	21092351	W
Chr06	21092352	21092451	N
Chr06	21092452	26168792	W
Chr06	26168793	26168892	N
Chr06	26168893	28469651	W
Chr06	28469652	28469751	N
Chr06	28469752	28533289	W
Chr06	28533290	28533389	N
Chr06	28533390	28593136	W
Chr06	28593137	28593236	N
Chr06	28593237	30081231	W
Chr06	30081232	30081331	N
Chr06	30081332	30146742	W
Chr06	30146743	30146842	N
Chr06	30146843	33627267	W
Chr06	33627268	33627367	N
Chr06	33627368	34802123	W
Chr06	34802124	34802223	N
Chr06	34802224	41168465	W
Chr06	41168466	41168565	N
Chr06	41168566	44524665	W
Chr06	44524666	44524765	N
Chr06	44524766	47258699	W
Chr07	1	4717535	W
Chr07	4717536	4717635	N
Chr07	4717636	4800633	W
Chr07	4800634	4800733	N
Chr07	4800734	5477558	W
Chr07	5477559	5477658	N
Chr07	5477659	16233276	W
Chr07	16233277	16233376	N
Chr07	16233377	16841064	W
Chr07	16841065	16841164	N
Chr07	16841165	19951554	W
Chr07	19951555	19951654	N
Chr07	19951655	20019553	W
Chr07	20019554	20019653	N
Chr07	20019654	20072631	W
Chr07	20072632	20072731	N
Chr07	20072732	21535143	W
Chr07	21535144	21535243	N
Chr07	21535244	28131556	W
Chr07	28131557	28131656	N
Chr07	28131657	33078345	W
Chr07	33078346	33078445	N
Chr07	33078446	33552922	W
Chr07	33552923	33553022	N
Chr07	33553023	36614755	W
Chr07	36614756	36614855	N
Chr07	36614856	41573369	W
Chr07	41573370	41573469	N
Chr07	41573470	42419847	W
Chr07	42419848	42419947	N
Chr07	42419948	45560289	W
Chr07	45560290	45560389	N
Chr07	45560390	57251761	W
Chr07	57251762	57251861	N
Chr07	57251862	57596305	W
Chr07	57596306	57596405	N
Chr07	57596406	58677495	W
Chr07	58677496	58677595	N
Chr07	58677596	59231144	W
Chr07	59231145	59231244	N
Chr07	59231245	60186878	W
Chr07	60186879	60186978	N
Chr07	60186979	61148941	W
Chr07	61148942	61149041	N
Chr07	61149042	65506225	W
Chr07	65506226	65506325	N
Chr07	65506326	67883646	W
Chr08	1	9349801	W
Chr08	9349802	9349901	N
Chr08	9349902	9383246	W
Chr08	9383247	9383346	N
Chr08	9383347	9406288	W
Chr08	9406289	9406388	N
Chr08	9406389	9433843	W
Chr08	9433844	9433943	N
Chr08	9433944	9448358	W
Chr08	9448359	9448458	N
Chr08	9448459	9462303	W
